index,t,bytes,mean_luma,std_luma,max_luma,lit_px,lit_frac,coverage_px,coverage_frac,luma_mass,adj_mean_delta,adj_max_delta,dhash,ahash,sha256
191,0.31886477462437396,49569,7.249673366546631,14.657096862792969,254.0,40387,0.03739537037037037,27928,0.02585925925925926,3353.47705078125,0.04680740833282471,60.0,18279316122268872,267330133564,4afa432a53fdf8a392ab107f4611e1a726926099442fa47143ef063b0174d8b0
192,0.32053422370617696,49635,7.252666473388672,14.665992736816406,254.0,40447,0.03745092592592593,28003,0.025928703703703704,3356.39794921875,0.048867594450712204,97.0,18279316122268872,267330133564,b5bba40dc4744202913859fbc1e3ab6aacc9fede9c55e54cd569d7bb446fa9f0
193,0.32220367278797996,49654,7.254952907562256,14.67626953125,254.0,40471,0.03747314814814815,28073,0.02599351851851852,3358.743896484375,0.05331944301724434,93.0,18279316122268872,267330133564,fdfd13f0d2014236d590dfb2efb87adf9ea41d244dbb11ddab438a7cc9c4eed0
194,0.32387312186978295,49688,7.257417678833008,14.687409400939941,254.0,40521,0.037519444444444446,28092,0.02601111111111111,3361.30810546875,0.049638889729976654,76.0,18279316122268872,267330133564,6b855fc75d907e2a43a44721d258231037b4872829350f054f3ccecbf2ffe9f7
195,0.32554257095158595,49709,7.261801719665527,14.697351455688477,254.0,40637,0.03762685185185185,28273,0.026178703703703704,3365.843994140625,0.0582435168325901,93.0,18279316122268872,267330133564,47d16a3ecafda8810af4d7d6d5c37dfa372f68539e28632d3db54dca91ca1ef6
196,0.327212020033389,49719,7.265897274017334,14.704633712768555,254.0,40734,0.03771666666666667,28360,0.02625925925925926,3370.090087890625,0.056143518537282944,85.0,18279316122268872,267330133564,41ffa3c34530ab98f98c8b86992b7e151b03c89f52604e6723a60ac47afe652c
197,0.328881469115192,49719,7.269593715667725,14.713739395141602,254.0,40814,0.03779074074074074,28413,0.026308333333333333,3373.47607421875,0.049283333122730255,86.0,18279316122268872,267330133564,37495c026814a011fa88c56cfeda7ca09ae7ef30701295cb218732c2c48fc1bb
198,0.330550918196995,49933,7.285987854003906,14.76161003112793,254.0,41184,0.03813333333333333,28845,0.026708333333333334,3390.97607421875,0.0653500035405159,117.0,18279316122268872,267330133564,dfa0978cae68642b1a3719078e280a6586ff153b18d9c11011c30f206d3246f1
199,0.332220367278798,50060,7.289755344390869,14.769868850708008,254.0,41277,0.038219444444444445,29000,0.026851851851851852,3394.902099609375,0.05210277810692787,84.0,18279316122268872,267330133564,fa303cf83024b086bb45f0909d6e3c16f5ba68bac95252312c3172def2087172
200,0.333889816360601,50325,7.2991557121276855,14.793489456176758,254.0,41587,0.03850648148148148,29267,0.027099074074074074,3404.6259765625,0.05576851963996887,98.0,18279316122268872,267330133564,83a1453138104adad44c594aa85948867bdd85e04453422215e56ecaa7177f5f
201,0.335559265442404,50444,7.305594444274902,14.812792778015137,254.0,41705,0.03861574074074074,29435,0.02725462962962963,3411.2939453125,0.052287038415670395,93.0,18279316122268872,267330133564,74149816b05a5d994d7da138ede6fd608df963b9901940b6a0d53a74fcb8a1b6
202,0.337228714524207,50519,7.311169624328613,14.828056335449219,254.0,41841,0.03874166666666667,29525,0.027337962962962963,3417.02197265625,0.05287870392203331,105.0,18279316122268872,267330133564,3cb2fa261dbcc25f3a2b8041c72844f4decd93d92622f10b423ec145dafa7969
203,0.33889816360601,50560,7.314271450042725,14.837285041809082,254.0,41890,0.03878703703703704,29623,0.027428703703703705,3420.068115234375,0.056970369070768356,124.0,18279316122268872,267330133564,c0d79b0225727b7746ce01b6b9172669cfcddf847430a6d3ec2defa0b6e0265d
204,0.34056761268781305,50632,7.320453643798828,14.85649585723877,254.0,42031,0.038917592592592594,29742,0.02753888888888889,3426.304931640625,0.053260184824466705,91.0,18279316122268872,267330133564,17ccd30b25a06cdf71faaacc808c605446b21868163b9a5c037663111131bc26
205,0.34223706176961605,50703,7.326987266540527,14.878042221069336,254.0,42127,0.03900648148148148,29859,0.027647222222222222,3433.202880859375,0.05597222223877907,78.0,18279316122268872,267330133564,c28ffeb2a55930102d5fb863ab2fafc3588548d4450280f6bb22be90d3ee4d3b
206,0.34390651085141904,50740,7.332499980926514,14.89402961730957,254.0,42287,0.03915462962962963,30059,0.027832407407407406,3438.64599609375,0.05764629691839218,81.0,18279316122268872,267330133564,31d828e742b64342317bbfdf97c8e5b27a6a63c730ceb95540d968f64c79ec2c
207,0.34557595993322204,50765,7.339263916015625,14.912993431091309,254.0,42406,0.039264814814814815,30158,0.027924074074074073,3445.47900390625,0.0599953718483448,91.0,18279316122268872,267330133564,b5da157ebfec6106130f72888b45c8b03b6b9fb8548440d0a8a1e17cca67ad25
208,0.34724540901502504,50785,7.345045566558838,14.934139251708984,254.0,42489,0.039341666666666664,30240,0.028,3451.39501953125,0.055529627948999405,54.0,18279316122268872,267330133564,12aa6689985ca09c281199e7ffe47a34f9457d34b3b10d4297838d718e0e02ba
